,actual,forecast,error,lower_ci,upper_ci
2018-01-10 23:00:00+00:00,51307.0,44144.16856273966,7162.831437260342,,
2018-01-11 00:00:00+00:00,49423.0,42077.147567511514,7345.852432488486,,
2018-01-11 01:00:00+00:00,48533.0,40953.02571726617,7579.974282733827,,
2018-01-11 02:00:00+00:00,49219.0,40856.20424332773,8362.795756672269,,
2018-01-11 03:00:00+00:00,50594.0,41539.332737998746,9054.667262001254,,
2018-01-11 04:00:00+00:00,53417.0,42861.486536877186,10555.513463122814,,
2018-01-11 05:00:00+00:00,61158.0,45519.125958011464,15638.874041988536,,
2018-01-11 06:00:00+00:00,67217.0,49414.35763813005,17802.64236186995,,
2018-01-11 07:00:00+00:00,69283.0,52695.93022226819,16587.069777731813,,
2018-01-11 08:00:00+00:00,69335.0,55124.18057476368,14210.819425236317,,
2018-01-11 09:00:00+00:00,69896.0,56925.05157195225,12970.948428047748,,
2018-01-11 10:00:00+00:00,70516.0,58358.92074205992,12157.07925794008,,
2018-01-11 11:00:00+00:00,69902.0,58186.57379460108,11715.426205398922,,
2018-01-11 12:00:00+00:00,69440.0,56909.57160856623,12530.428391433772,,
2018-01-11 13:00:00+00:00,68717.0,55871.76575368933,12845.234246310669,,
2018-01-11 14:00:00+00:00,68549.0,55731.016204263986,12817.983795736014,,
2018-01-11 15:00:00+00:00,68442.0,57366.34584965956,11075.654150340437,,
2018-01-11 16:00:00+00:00,70711.0,59887.61207511868,10823.387924881317,,
2018-01-11 17:00:00+00:00,70314.0,59605.10157315196,10708.898426848042,,
2018-01-11 18:00:00+00:00,69131.0,57805.082950043616,11325.917049956384,,
2018-01-11 19:00:00+00:00,65206.0,54377.729729498846,10828.270270501154,,
2018-01-11 20:00:00+00:00,62089.0,51924.05912869793,10164.940871302068,,
2018-01-11 21:00:00+00:00,59089.0,50622.37343425724,8466.626565742758,,
2018-01-11 22:00:00+00:00,55035.0,47231.1425084293,7803.8574915706995,,
2018-01-11 23:00:00+00:00,51269.0,44096.89937267904,7172.100627320957,,
2018-01-12 00:00:00+00:00,49429.0,42029.87435691413,7399.12564308587,,
2018-01-12 01:00:00+00:00,48492.0,40905.751392270606,7586.248607729394,,
2018-01-12 02:00:00+00:00,48879.0,40808.929625060635,8070.070374939365,,
2018-01-12 03:00:00+00:00,49918.0,41492.05881120893,8425.941188791068,,
2018-01-12 04:00:00+00:00,53057.0,42814.213880520314,10242.786119479686,,
2018-01-12 05:00:00+00:00,60640.0,45471.85629802218,15168.143701977817,,
2018-01-12 06:00:00+00:00,66991.0,49367.09059927941,17623.909400720593,,
2018-01-12 07:00:00+00:00,69090.0,52648.663923384906,16441.336076615094,,
2018-01-12 08:00:00+00:00,69419.0,55076.91310820711,14342.08689179289,,
2018-01-12 09:00:00+00:00,70589.0,56877.78262288775,13711.217377112247,,
2018-01-12 10:00:00+00:00,71035.0,58311.650415476004,12723.349584523996,,
2018-01-12 11:00:00+00:00,70543.0,58139.30296399558,12403.697036004422,,
2018-01-12 12:00:00+00:00,69553.0,56862.30085076301,12690.699149236993,,
2018-01-12 13:00:00+00:00,67818.0,55824.49487497809,11993.505125021911,,
2018-01-12 14:00:00+00:00,67224.0,55683.744745013566,11540.255254986434,,
2018-01-12 15:00:00+00:00,67527.0,57319.07345004473,10207.926549955271,,
2018-01-12 16:00:00+00:00,69550.0,59840.33880571006,9709.66119428994,,
2018-01-12 17:00:00+00:00,69094.0,59557.82838726393,9536.17161273607,,
2018-01-12 18:00:00+00:00,66925.0,57757.81067907475,9167.189320925252,,
2018-01-12 19:00:00+00:00,62837.0,54330.4577429314,8506.542257068599,,
2018-01-12 20:00:00+00:00,59728.0,51876.78714362102,7851.212856378981,,
2018-01-12 21:00:00+00:00,57601.0,50575.1000412422,7025.8999587578,,
2018-01-12 22:00:00+00:00,54091.0,47183.86721575709,6907.132784242909,,
2018-01-12 23:00:00+00:00,50525.0,44049.62206484721,6475.377935152792,,
2018-01-13 00:00:00+00:00,48467.0,41982.595854352156,6484.404145647844,,
2018-01-13 01:00:00+00:00,46890.0,40858.47255855756,6031.527441442442,,
2018-01-13 02:00:00+00:00,46593.0,40761.65070419994,5831.349295800057,,
2018-01-13 03:00:00+00:00,46136.0,41444.78009582546,4691.219904174541,,
2018-01-13 04:00:00+00:00,46002.0,42766.93554265472,3235.064457345281,,
2018-01-13 05:00:00+00:00,47025.0,45424.578850547805,1600.421149452195,,
2018-01-13 06:00:00+00:00,50894.0,49319.81393069438,1574.1860693056224,,
2018-01-13 07:00:00+00:00,54955.0,52601.38747468626,2353.6125253137434,,
2018-01-13 08:00:00+00:00,58521.0,55029.63631252632,3491.3636874736767,,
2018-01-13 09:00:00+00:00,60937.0,56830.505386669545,4106.494613330455,,
2018-01-13 10:00:00+00:00,61944.0,58264.37276991844,3679.6272300815617,,
2018-01-13 11:00:00+00:00,61728.0,58092.025168664535,3635.974831335465,,
2018-01-13 12:00:00+00:00,59831.0,56815.02307706566,3015.9769229343365,,
2018-01-13 13:00:00+00:00,58039.0,55777.2170653521,2261.7829346478975,,
2018-01-13 14:00:00+00:00,57405.0,55636.466762876364,1768.5332371236364,,
2018-01-13 15:00:00+00:00,58424.0,57271.795188471784,1152.204811528216,,
2018-01-13 16:00:00+00:00,61699.0,59793.06028567191,1905.9397143280876,,
2018-01-13 17:00:00+00:00,62322.0,59510.54989204451,2811.4501079554902,,
2018-01-13 18:00:00+00:00,59827.0,57710.53245572983,2116.46754427017,,
2018-01-13 19:00:00+00:00,55432.0,54283.17960409833,1148.8203959016682,,
2018-01-13 20:00:00+00:00,52729.0,51829.50900523087,899.4909947691267,,
2018-01-13 21:00:00+00:00,52468.0,50527.821484473556,1940.1785155264442,,
2018-01-13 22:00:00+00:00,48932.0,47136.58809449228,1795.4119055077172,,
2018-01-13 23:00:00+00:00,45894.0,44002.34234476386,1891.6576552361366,,
2018-01-14 00:00:00+00:00,44318.0,41935.31577924656,2382.684220753443,,
2018-01-14 01:00:00+00:00,42836.0,40811.19238504813,2024.8076149518674,,
2018-01-14 02:00:00+00:00,42462.0,40714.370504793995,1747.6294952060052,,
2018-01-14 03:00:00+00:00,42585.0,41397.49995747848,1187.5000425215185,,
2018-01-14 04:00:00+00:00,42079.0,42719.65551648977,-640.6555164897727,,
2018-01-14 05:00:00+00:00,41368.0,45377.29908896873,-4009.299088968728,,
2018-01-14 06:00:00+00:00,43177.0,49272.53440056762,-6095.534400567623,,
2018-01-14 07:00:00+00:00,46353.0,52554.10800990025,-6201.10800990025,,
2018-01-14 08:00:00+00:00,50224.0,54982.35674463219,-4758.35674463219,,
2018-01-14 09:00:00+00:00,52237.0,56783.2256878667,-4546.225687866703,,
2018-01-14 10:00:00+00:00,55407.0,58217.09294947759,-2810.092949477592,,
2018-01-14 11:00:00+00:00,55498.0,58044.74530371747,-2546.745303717471,,
2018-01-14 12:00:00+00:00,53204.0,56767.7432185472,-3563.743218547199,,
2018-01-14 13:00:00+00:00,51988.0,55729.937196157196,-3741.937196157196,,
2018-01-14 14:00:00+00:00,52033.0,55589.18684241856,-3556.1868424185595,,
2018-01-14 15:00:00+00:00,53615.0,57224.51518497773,-3609.515184977732,,
2018-01-14 16:00:00+00:00,58618.0,59745.78020537315,-1127.7802053731502,,
2018-01-14 17:00:00+00:00,60414.0,59463.26981912079,950.7301808792108,,
2018-01-14 18:00:00+00:00,59171.0,57663.25246359549,1507.7475364045094,,
2018-01-14 19:00:00+00:00,57237.0,54235.899637077266,3001.1003629227343,,
2018-01-14 20:00:00+00:00,54925.0,51782.22903834142,3142.770961658578,,
2018-01-14 21:00:00+00:00,55000.0,50480.541393260064,4519.458606739936,,
2018-01-14 22:00:00+00:00,52049.0,47089.30783553488,4959.692164465123,,
2018-01-14 23:00:00+00:00,49247.0,43955.06190786341,5291.938092136588,,
2018-01-15 00:00:00+00:00,47067.0,41888.035236848795,5178.964763151205,,
